period,amp
19998.0,5.859554572573796e-07
20004.00077150572,7.716895268295016e-07
20010.001543011444,9.397100930459953e-07
20016.002314517165,2.405806775563489e-07
20022.003086022887,5.795779159075646e-07
20028.00385752861,8.52558609326207e-08
20034.00462903433,3.0124445177263245e-07
20040.005400540053,2.3193060255349074e-08
20046.006172045774,8.311950139235596e-09
20052.0069435515,8.433715512065351e-07
20058.00771505722,4.0694197022288805e-07
20064.008486562943,1.2266882330650164e-07
20070.009258068665,7.412288178450922e-07
20076.010029574387,8.639292361316958e-07
20082.01080108011,2.1371566406590298e-07
20088.01157258583,1.0061482880490828e-06
20094.012344091552,1.5156218423698613e-07
20100.013115597274,6.148778915020734e-07
20106.013887102996,4.742707298941514e-07
20112.014658608718,3.08879970868416e-07
20118.01543011444,1.7564183656158347e-07
20124.01620162016,3.6561181284422e-07
20130.016973125883,2.5819129072020407e-09
20136.017744631605,7.148518182577616e-07
20142.018516137327,6.9979802835329826e-09
20148.01928764305,4.1784169602620937e-07
20154.020059148774,3.801521025809786e-07
20160.020830654496,3.7995312296419863e-07
20166.021602160217,1.589892506469216e-08
20172.02237366594,2.305170111264487e-09
20178.02314517166,4.3751939092716706e-07
20184.023916677383,6.888352706501521e-07
20190.024688183104,1.5903557708571512e-07
20196.025459688826,5.993582604523448e-08
20202.026231194548,6.603352806113952e-08
20208.02700270027,1.7519640253164356e-08
20214.02777420599,1.631381903367086e-07
20220.028545711713,3.01685293416877e-07
20226.029317217435,2.3220159580894425e-07
20232.030088723157,3.753378618904229e-07
20238.03086022888,5.272859329484616e-07
20244.0316317346,4.5489189674545216e-07
20250.032403240322,4.1474917311045076e-07
20256.033174746048,1.9377993452024761e-07
20262.03394625177,1.3397286211276657e-06
20268.03471775749,4.488504269268692e-08
20274.035489263213,1.213277102480532e-07
20280.036260768935,6.759316930516836e-08
20286.037032274657,4.452096672594454e-07
20292.03780378038,1.1629146129065374e-06
20298.0385752861,1.3359808918472433e-06
20304.039346791822,4.193464136171094e-07
20310.040118297544,3.402182401298746e-07
20316.040889803266,3.413401698977718e-08
20322.041661308987,1.1175035129947283e-06
20328.04243281471,3.345530205844551e-07
20334.04320432043,2.527925416561453e-07
20340.043975826153,1.8109516204799474e-09
20346.044747331875,1.0406889520588406e-07
20352.045518837596,8.036360202560671e-07
20358.04629034332,6.117560613750978e-07
20364.047061849044,5.155541296537872e-07
20370.047833354765,6.613363551533359e-07
20376.048604860487,5.029624329096654e-07
20382.04937636621,1.66396389485248e-08
20388.05014787193,2.0944715669319754e-07
20394.050919377652,4.046840831513433e-07
20400.051690883374,3.5399082954168943e-07
20406.052462389096,3.0007578356342294e-07
20412.053233894818,1.1017455465823614e-06
20418.05400540054,1.2725059680975105e-08
20424.05477690626,1.147433529978543e-06
20430.055548411983,8.161204003056667e-07
20436.056319917705,1.0733304790019726e-06
20442.057091423427,3.921216546509543e-07
20448.05786292915,2.1602026377835575e-07
20454.05863443487,5.216789336592655e-07
20460.059405940596,6.761908405803479e-07
20466.060177446318,4.130995118024626e-08
20472.06094895204,6.154861292122745e-07
20478.06172045776,8.663948469066141e-07
20484.062491963483,9.322006024000146e-07
20490.063263469205,1.1736559707421086e-07
20496.064034974926,8.638101546634217e-07
20502.06480648065,1.1658284368486154e-06
20508.06557798637,1.900694808183385e-06
20514.066349492092,3.0381840141067667e-07
20520.067120997814,8.43765453156034e-07
20526.067892503535,3.852114148785108e-07
20532.068664009257,1.288823203985848e-06
20538.06943551498,4.7619986187848086e-08
20544.0702070207,2.1369124898855365e-07
20550.070978526423,1.1564054130815798e-06
20556.071750032144,8.671981066151188e-08
20562.07252153787,8.883414990770275e-09
20568.07329304359,5.32845194724869e-07
